t,x,y,z,accuracy
1487862073.871,14.93377685546875,-29.156494140625,-27.301025390625,3.0
1487862073.887,14.9078369140625,-29.23126220703125,-27.18048095703125,3.0
1487862073.904,14.764404296875,-29.66461181640625,-26.483154296875,3.0
1487862073.921,15.02532958984375,-29.79583740234375,-26.483154296875,3.0
1487862073.938,15.43731689453125,-30.0018310546875,-26.483154296875,3.0
1487862073.955,16.070556640625,-30.6427001953125,-26.483154296875,3.0
1487862073.971,16.4459228515625,-31.01806640625,-26.483154296875,3.0
1487862073.988,15.2740478515625,-30.42755126953125,-26.19781494140625,3.0
1487862074.005,15.10162353515625,-30.340576171875,-26.1566162109375,3.0
1487862074.022,15.26947021484375,-31.52618408203125,-26.9744873046875,3.0
1487862074.039,14.87884521484375,-31.21185302734375,-26.9744873046875,3.0
1487862074.055,13.58795166015625,-30.17120361328125,-26.9744873046875,3.0
1487862074.072,13.507080078125,-30.09185791015625,-26.8951416015625,3.0
1487862074.089,13.42010498046875,-30.0018310546875,-26.8096923828125,3.0
1487862074.106,13.65966796875,-30.24444580078125,-26.8096923828125,3.0
1487862074.122,13.75579833984375,-30.340576171875,-26.8096923828125,3.0
1487862074.139,12.6312255859375,-31.15081787109375,-28.839111328125,3.0
1487862074.1560001,12.6434326171875,-31.09588623046875,-28.9215087890625,3.0
1487862074.173,13.42010498046875,-30.0018310546875,-28.77197265625,3.0
1487862074.19,13.15155029296875,-28.8726806640625,-29.0313720703125,3.0
1487862074.206,12.579345703125,-26.446533203125,-29.58984375,3.0
1487862074.223,12.01324462890625,-27.39410400390625,-30.5023193359375,3.0
1487862074.24,11.5692138671875,-28.1402587890625,-31.22406005859375,3.0
1487862074.257,11.9720458984375,-26.64947509765625,-30.8319091796875,3.0
1487862074.273,12.07427978515625,-26.27716064453125,-30.7342529296875,3.0
1487862074.29,10.05706787109375,-27.29339599609375,-29.42657470703125,3.0
1487862074.307,10.5224609375,-27.70843505859375,-29.18548583984375,3.0
1487862074.3240001,12.9150390625,-29.833984375,-27.9541015625,3.0
1487862074.341,12.64190673828125,-30.6549072265625,-27.69012451171875,3.0
